"Sr. No.","hospitalname","Category","Health Care Provider Type","address First Line","state","district","subdristrict","pincode","telephone","totalnumofbeds","mobilenumber","website","googlemapcorridinate_lati","googlemapcorridinate_longi","facilities","ayush"
"371","Dispensary No. 7","Public/ Government","Dispensary","Dispensary No. 7, 97, IndustrialColony, Naini","Uttar Pradesh","Allahabad","NA","NA","0532 2697132","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"372","CGHS Dispensary No. 1","Public/ Government","Dispensary","CGHS Dispensary No. 1, Shivajinagar (FunctionalDispensary) – 18/1, Infantry Road, Shivajinagar","Karnataka","Bengaluru","NA","NA","080 22861255","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"373","CGHS Dispensary No. 2","Public/ Government","Dispensary","CGHS Dispensary No. 2, Malleswaram (FunctionalDispensary) – Malleswaram CooperativeSociety Building, 8th Cross, Margoss Road,Malleswaram","Karnataka","Bengaluru","NA","560003","080 2311492","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"374","CGHS Dispensary No. 3","Public/ Government","Dispensary","CGHS Dispensary No. 3, Basavanagudi – A-5,Aradhya Complex, Vanivilas Road,Basavanagudi","Karnataka","Bengaluru","NA","550004","080 26673000","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"375","CGHS Dispensary No. 4","Public/ Government","Dispensary","CGHS Dispensary No. 4, Ulsoor – No. 27, Car StreetUlsoor","Karnataka","Bengaluru","NA","560004","080 25510759","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"376","CGHS Dispensary No. 5","Public/ Government","Dispensary","CGHS Dispensary No. 5, Vijaynagar – GPRA CPWDQuarters, Vijaynagar","Karnataka","Bengaluru","NA","560040","080 23351893","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"377","CGHS Dispensary No. 6","Public/ Government","Dispensary","CGHS Dispensary No. 6, Jayanagar – No. 57/190,R.V. Road, 2nd Block, Jayanagar","Karnataka","Bengaluru","NA","560011","080 26570202","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"378","CGHS Dispensary No. 7","Public/ Government","Dispensary","CGHS Dispensary No. 7, Koramangala, CPWDQuarters, Koramangala","Karnataka","Bengaluru","NA","560034","080 25539277","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"379","CGHS Dispensary No. 8","Public/ Government","Dispensary","CGHS Dispensary No. 8, Domlur, CPWD Quarters, Domlur","Karnataka","Bengaluru","NA","560038","080 25355662","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"380","CGHS Dispensary No. 9","Public/ Government","Dispensary","CGHS Dispensary No. 9, Gangenahalli – 256, 1stCross, II Main Ganganagar, Layout","Karnataka","Bengaluru","NA","NA","080 23330320","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"381","CGHS Dispensary No. 10","Public/ Government","Dispensary","CGHS Dispensary No. 10, DRDO Complex – DRDOComplex, C.V. Raman Nagar","Karnataka","Bengaluru","NA","560093","080 25243236","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"382","CGHS POLYCLINIC","Public/ Government","Dispensary","CGHS POLYCLINIC, Shivajinagar – No.119/1 & 2, Infantry Road, Shivajinagar","Karnataka","Bengaluru","NA","560001","080 22869225","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"383","CGHS","Public/ Government","Dispensary","CGHS, Police I.T. Building, Jahangirabad","Madhya Pradesh","Bhopal","NA","462 008","0755 2765071","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"384","CGHS","Public/ Government","Dispensary","CGHS, A.G. Colony, Unit-IV","Orissa","Bhubaneshwar","NA","751001","0674 2500127","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"385","Homeopathy Dispensary","Public/ Government","Dispensary","Central govt. Health Scheme,Homeopathy Dispensary Campus, Sector-34","Punjab","Chandigarh","NA","NA","0712 2401888, 0712 2646030","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","Ayush/ Homoeopathy"
"386","Adyar Dispensary","Public/ Government","Dispensary","Block No l. 122/169-170,CPWD Quarters, Indira Nagar, Adyar","Tamil Nadu","Chennai","NA","600020","044 24415251","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"387","Ana Nagar Dispensary & Polyclinic Central","Public/ Government","Dispensary/ Poly Clinic","Revenue Quarters, No. 15, RanganathanGarden, Anna Nagar","Tamil Nadu","Chennai","NA","600040","044 26160531,044 26160971,044 26160853","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"388","George Town Dispensary","Public/ Government","Dispensary","No. 64,Thathamuthiappan Street, George Town","Tamil Nadu","Chennai","NA","600001","044 25220585","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"389","Gopalapuram Dispensary","Public/ Government","Dispensary","No. 1, 1st Street,Gopalapuram","Tamil Nadu","Chennai","NA","600086","044 28114535","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"390","Guindy Dispensary","Public/ Government","Dispensary","Block No. 6/1-5, BCGStaff Quarters, Guindy","Tamil Nadu","Chennai","NA","600032","044 22351242","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"391","K.K. Nagar Dispensary & Polyclinic","Public/ Government","Dispensary/ Poly Clinic","GPRA Complex, CPWD Quarters, K.K. Nagar","Tamil Nadu","Chennai","NA","600078","044 24745646,044 24744242","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"392","Meenambakkam Dispensary","Public/ Government","Dispensary","DGQA Complex,Meenambakkam","Tamil Nadu","Chennai","NA","600114","044 22326373","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"393","Nandambakkam Dispensary","Public/ Government","Dispensary","Quarter No. 16-19– CDA Residential Complex, Nandambakkam","Tamil Nadu","Chennai","NA","600089","044 22312153","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"394","Nungambakkam Dispensary C&B Block","Public/ Government","Dispensary","Nungambakkam Dispensary C&B Block, 1stFloor, Shastri Bhavan, Haddows Road","Tamil Nadu","Chennai","NA","600006","044 28277607","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"395","Perambur Dispensary","Public/ Government","Dispensary","No 28, Perambur HighRoad, Perambur","Tamil Nadu","Chennai","NA","600012","044 26621198","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"396","Raja Annamalai Puram Dispensary No. 6","Public/ Government","Dispensary","Kamaraj Saalai, R.A. Puram","Tamil Nadu","Chennai","NA","600028","044 24938775","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"397","Royapuram Dispensary, No. 108 & 109","Public/ Government","Dispensary","Mannar Swami Koil Street, Royapuram","Tamil Nadu","Chennai","NA","600013","044 25900851","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"398","Triplicane Dispensary","Public/ Government","Dispensary","No. 54, Akbar SahibStreet, Triplicane","Tamil Nadu","Chennai","NA","600005","044 28510049","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"399","Vepery Dispensary","Public/ Government","Dispensary","No. 143, PeramburBarracks Road Vepery","Tamil Nadu","Chennai","NA","600007","044 25322179","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"400","CGHS Dispensary – 20","Public/ Government","Dispensary","Navyug Enclave,Indirapuram, Milan Vihar, Phase – II, G.M.S.Road","Uttarakhand","Dehradun","NA","248001","0135 2521235","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"401","CGHS Dispensary No. I","Public/ Government","Dispensary","CGHS DispensaryNo.1, SrimantaSankardev Nagar, Hengrabari","Assam","Guwahati","NA","781006","0361 2269743","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"402","CGHS Dispensary No. II","Public/ Government","Dispensary","CGHS Dispensary No.2, Forest Gate,Narengi","Assam","Guwahati","NA","781026","0361 2552304","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"403","CGHS Dispensary No. III","Public/ Government","Dispensary","CGHS Dispensary No.3, R.K. ChowdhuryPath, Near Rly. Gate No.9,Bharalumukh","Assam","Guwahati","NA","781009","0361 2485454","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"404","CGHS Dispensary No. I, Charmina","Public/ Government","Dispensary","23-1-693/1/1, Moghulpura","Andhra Pradesh","Hyderabad","NA","NA","040 24525415","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"405","CGHS Dispensary No. II, Humayunagar","Public/ Government","Dispensary","10-3-273/10, Humayunnagar","Andhra Pradesh","Hyderabad","NA","NA","040 23531833","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"406","CGHS Dispensary No. III,Secunderabad","Public/ Government","Dispensary","6-1-103/5, Padmaraonagar,Secundarabad","Andhra Pradesh","Hyderabad","NA","NA","040 27508899","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"407","CGHS Dispensary No. IV,Begumpet","Public/ Government","Dispensary","K.S. Bhawan, Begumpet","Andhra Pradesh","Hyderabad","NA","NA","040 27904259","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"408","CGHS Dispensary No. V,Humayatnagar","Public/ Government","Dispensary","Oilseeds Qtrs., Himayatnagar","Andhra Pradesh","Hyderabad","NA","NA","040 23220454","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"409","CGHS Dispensary No. VI,Kachiguda","Public/ Government","Dispensary","Kendriya Sadan, Sultanbazar","Andhra Pradesh","Hyderabad","NA","NA","040 24734901","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"410","CGHS Dispensary No. VII,Malakpet","Public/ Government","Dispensary","16-3-994/A/1, Chanchalguda","Andhra Pradesh","Hyderabad","NA","NA","040 24529090","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"411","CGHS Dispensary No. VII,Kanchanbagh","Public/ Government","Dispensary","DRDO Complex, Kanchanbagh","Andhra Pradesh","Hyderabad","NA","NA","040 24640685","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"412","CGHS Dispensary No. IX,Alwal, Secunderabad","Public/ Government","Dispensary","8-88 & 89, Alwal, Senderabad","Andhra Pradesh","Hyderabad","NA","NA","040 27972563","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"413","CGHS Dispensary No. X,Ameerpet","Public/ Government","Dispensary","AGS Staff Qtrs. Yousufguda","Andhra Pradesh","Hyderabad","NA","NA","040 23810449","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"414","CGHS Dispensary No. XI,Kakatiyanagar","Public/ Government","Dispensary","9-4-84/20, Kakatiyanagar","Andhra Pradesh","Hyderabad","NA","NA","040 23513955","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"415","CGHS Dispensary No. XII,Dilsuknagar","Public/ Government","Dispensary","7/2A, Balaji Complex, Dilsuknagar","Andhra Pradesh","Hyderabad","NA","NA","040 24066222","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"416","CGHS Dispensary No. XII,Tamaka","Public/ Government","Dispensary","St. No. 5, Tarnaka","Andhra Pradesh","Hyderabad","NA","NA","040 27019223","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"417","PC-I, KS Bhawan","Public/ Government","Dispensary","KS Bhavan, Begumpet","Andhra Pradesh","Hyderabad","NA","NA","040 27902051","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"418","PC-II, AGS Office Bldg.","Public/ Government","Dispensary","AGS Office Building","Andhra Pradesh","Hyderabad","NA","NA","040 23232911","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"419","PC Hyderabad","Public/ Government","Dispensary","CE Building","Andhra Pradesh","Hyderabad","NA","NA","040 23240445","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"420","CGHS Dispensary No. 1, Napier Town","Public/ Government","Dispensary","249, Napier Town, Shashtri Bridge Chowk","Madhya Pradesh","Jabalpur","NA","482001","0761 2405205,0761 2404553","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"421","CGHS Dispensary No. 2, I.B.N. Colony","Public/ Government","Dispensary","Qtr NO. 9 to 12, Type III, Indian Bureau of Mines Colony, (Kamala Nehru Nagar), Garha Road","Madhya Pradesh","Jabalpur","NA","482002","0761 2416805","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"422","CGHS Dispensary No. 3, Civil Line","Public/ Government","Dispensary","640, Civil Lines, Behind Civil Lines Police Station","Madhya Pradesh","Jabalpur","NA","482001","0761 2623967","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"423","CGHS Dispensary Administrative Office – 249, NapierTown","Public/ Government","Dispensary","Shastri Bridge Chowk, Near UTI Bank","Madhya Pradesh","Jabalpur","NA","NA","0761 2405205,0761 2411890","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"424","CGHS Dispensary NO. 1, Chandan Mahal","Public/ Government","Dispensary","Choura Rasta","Rajasthan","Jaipur","NA","NA","0141 2317086","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"425","CGHS Dispensary NO. 2","Public/ Government","Dispensary","B-121, Janta Colony","Rajasthan","Jaipur","NA","NA","0141 2614407","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"426","CGHS Dispensary No. 3, A.G. Colony","Public/ Government","Dispensary","Bajaj Nagar","Rajasthan","Jaipur","NA","NA","0141 2710836","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"427","CGHS Dispensary No. 4","Public/ Government","Dispensary","D-143/A, Kaushalya Path, Basant Marg, Banipark","Rajasthan","Jaipur","NA","NA","0141 2203130","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"428","CGHS Dispensary No. 5, Income Tax Colony","Public/ Government","Dispensary","Jyoti Nagar","Rajasthan","Jaipur","NA","NA","0141 2740748","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"429","CGHS Polyclinic, A.G. Colony","Public/ Government","Dispensary","Bajaj Nagar","Rajasthan","Jaipur","NA","NA","0141 2710021","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"430","CGHS Dispensary, Civil Lines","Public/ Government","Dispensary","15/45 (A&B) Civil Lines","Uttar Pradesh","Kanpur","NA","NA","0512 2306876","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"431","CGHS Dispensary, Saketnagar","Public/ Government","Dispensary","Saketnagar, Near SushilaNursing Home","Uttar Pradesh","Kanpur","NA","NA","0512 2666240","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"432","CGHS Dispensary, R.K. Nagar","Public/ Government","Dispensary","110/58, R.K. Nagar","Uttar Pradesh","Kanpur","NA","NA","0512 2542379","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"433","CGHS Dispensary, Khanpramohal","Public/ Government","Dispensary","E-15, Khanpramohal","Uttar Pradesh","Kanpur","NA","NA","0512 2322924","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"434","CGHS Dispensary, Kidwainagar, Kanpur","Public/ Government","Dispensary","Kidwainagar, Kanpur(128/H/123, Kidwainagar, Kanpur)","Uttar Pradesh","Kanpur","NA","NA","0512 2643379","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"435","CGHS Dispensary, Gandhi Gram","Public/ Government","Dispensary","89, Gandhi Gram","Uttar Pradesh","Kanpur","NA","NA","0512 2403733","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"436","CGHS Dispensary, Pandunagar","Public/ Government","Dispensary","117/H-2/28,Pandunagar","Uttar Pradesh","Kanpur","NA","NA","0512 2217339","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"437","CGHS Dispensary, Azadnagar","Public/ Government","Dispensary","A/186, Azadnagar","Uttar Pradesh","Kanpur","NA","NA","0512 2560272","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"438","CGHS Dispensary, Barra","Public/ Government","Dispensary","155, Z-1, Barra","Uttar Pradesh","Kanpur","NA","NA","0512 2612372","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"439","CGHS Dispensary,","Public/ Government","Dispensary","Belvedere, Flat NO. 68, Belvedere Estate","West Bengal","Kolkata","NA","700029","033 24791153","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"440","CGHS Dispensary, Lake Area","Public/ Government","Dispensary","Flat No. 55 & 56, Lake Govt.Qrts., Southern Avenue","West Bengal","Kolkata","NA","700029","033 24661733","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"441","CGHS Dispensary, Dover Lane","Public/ Government","Dispensary","Dover Lane Govt. Qrts.","West Bengal","Kolkata","NA","700029","033 24619292","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"442","CGHS Dispensary, Narkeldanga","Public/ Government","Dispensary","Flat No. 27 & 28,Narkeldanaga Govt. Qrts.","West Bengal","Kolkata","NA","700054","033 23203998","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"443","CGHS Dispensary, Shyambazar","Public/ Government","Dispensary","Shyambazar, 7-A, Kalachand Sanyal Lane","West Bengal","Kolkata","NA","700054","033 25556385","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"444","CGHS Dispensary, Regent Estate","Public/ Government","Dispensary","102, Regent Estate","West Bengal","Kolkata","NA","700092","033 24125528","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"445","CGHS Dispensary, Bhownipur-Kalighat","Public/ Government","Dispensary","Bhownipur-Kalighat, 1-A, Satish Mukherjee Road","West Bengal","Kolkata","NA","700025","033 24641852","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"446","CGHS Dispensary, Bidhan Sarani","Public/ Government","Dispensary","168, Bidhan Sarani","West Bengal","Kolkata","NA","700006","033 25558034","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"447","CGHS Dispensary, Mint Colony","Public/ Government","Dispensary","Mint Colony, 9, Mint Guard House","West Bengal","Kolkata","NA","700053","033 24010558","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"448","CGHS Dispensary, B.B.D. Bag","Public/ Government","Dispensary","B.B.D. Bag, 39, Rabindra Sarani","West Bengal","Kolkata","NA","700073","033 22358282","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"449","CGHS Dispensary, Santragachi","Public/ Government","Dispensary","Govt. of India Press Colony,Santragachi, Howrah","West Bengal","Kolkata","NA","NA","033 26571526","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"450","CGHS Dispensary, Salt-Lake (AF)","Public/ Government","Dispensary","Salt-Lake (AF), Bidhan Nagar, B1-AF, Sec-I, F1-209 & 210","West Bengal","Kolkata","NA","700064","033 23374635","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"451","CGHS Dispensary","Public/ Government","Dispensary","AIR-PORT, New Qrts., Dum Dum","West Bengal","Kolkata","NA","700052","033 25119442","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
"452","CGHS Dispensary, Lake-Town","Public/ Government","Dispensary","P-112, Kalindi HousingScheme, Lake-Town","West Bengal","Kolkata","NA","700089","033 25222137","NA","NA","http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf","NA","NA","NA","NA"
